ISSN,SJR_Q,SJR_H,VHB,FNEGE,CoNRS,HCERE,CORE,sourc,DAEN,AJG,JCR,SNIP,SJR,CiteS,ABDC,VHB4,NF
23476311,Q4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Higher Education for the Future
23485779,Q4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Higher Education for the Future
24329614,Q4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Higher Education Forum
23752696,Q2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Higher Education Pedagogies
17403863,Q1,44,NA,NA,NA,NA,NA,NA,NA,2,NA,23,14,24,NA,NA,Higher Education Policy
09528733,Q1,44,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Higher Education Policy
24461881,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Higher Education Practices Series
09515224,Q1,44,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,C,NA,Higher Education Quarterly
14682273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,Higher Education Quarterly
02639769,Q1,44,NA,NA,NA,NA,NA,NA,NA,2,NA,10,10,16,NA,NA,Higher Education Quarterly
07294360,Q1,76,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,Higher Education Research and Development
14698366,Q1,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Higher Education Research and Development
2042390X,Q3,16,NA,NA,NA,NA,NA,NA,NA,1,NA,36,35,35,C,NA,"Higher Education, Skills and Work-based Learning"
20423896,Q3,16,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,C,NA,"Higher Education, Skills and Work-based Learning"
08824126,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Higher Education: Handbook of Theory and Research
21576254,Q3,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Higher Learning Research Communications
08924635,NA,NA,NA,NA,NA,NA,C,CORE2020,NA,NA,NA,NA,NA,NA,NA,NA,Higher Order and Symbolic Computatio
15730557,NA,NA,NA,NA,NA,NA,C,CORE2020,NA,NA,NA,NA,NA,NA,NA,NA,Higher Order and Symbolic Computatio
0267825X,Q4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Highways
01426168,Q4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Highways
15799794,Q1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hikma
01058118,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Hikui
19352212,Q4,12,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Himalaya
09718966,Q3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Himalayan Geology
25181238,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Himia, Fizika ta Tehnologia Poverhni"
20791704,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Himia, Fizika ta Tehnologia Poverhni"
22873260,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hip and Pelvis
22873279,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hip and Pelvis
11207000,Q2,40,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Hip International
17246067,Q2,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HIP International
22845666,Q3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hiperboreea
19894805,Q4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hipertension y Riesgo Vascular
18891837,Q4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hipertension y Riesgo Vascular
23281308,Q1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hipogrifo
10509631,Q1,160,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Hippocampus
10981063,Q1,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hippocampus
07815859,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Hippokrates
11084189,Q4,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hippokratia
04391721,Q4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hirosaki Medical Journal
00182052,Q4,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hiroshima Journal of Medical Sciences
00182079,Q4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hiroshima Mathematical Journal
18108997,Q4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hirurgia Pozvonochnika
23131497,Q4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hirurgia Pozvonochnika
03630471,Q4,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Hispamerica
00182141,Q2,12,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Hispania
00182133,Q2,13,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Hispania
19888368,Q2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hispania - Revista Espanola de Historia
11300515,Q4,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Hispania Antiqua
11387319,Q2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hispania Nova
0018215X,Q3,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Hispania Sacra
19884265,Q3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hispania Sacra
15404153,Q3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hispanic Health Care International
19388993,Q3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hispanic Health Care International
07399863,Q1,65,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Hispanic Journal of Behavioral Sciences
15526364,Q1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hispanic Journal of Behavioral Sciences
14682737,Q3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hispanic Research Journal
00182176,Q4,9,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,Hispanic Review
15530639,Q4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hispanic Review
00182206,Q3,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Hispanofila
09486143,Q1,103,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Histochemistry and Cell Biology
1432119X,Q1,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histochemistry and Cell Biology
09922059,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Histoire de l'Art
02216280,Q4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histoire de l'Educatio
20337469,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Histoire De L'énergie / History Of Energy
16608070,Q4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histoire des Alpes - Storia delle Alpi - Geschichte der Alpe
04408888,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Histoire des Sciences Medicales
00130567,NA,NA,NA,NA,4,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histoire Économique Quantitative
07508069,Q4,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Histoire Epistemologie Langage
09821783,Q2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histoire et Mesure
19577745,Q2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histoire et Mesure
1254728X,Q4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histoire et Societes Rurales
1950666X,Q4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histoire et Societes Rurales
09912894,Q4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histoire Medievale et Archeologie
00182257,Q4,12,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Histoire Sociale
19186576,Q4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histoire Sociale
16280482,Q4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histoire Urbaine
07525702,NA,2,NA,NA,4,C,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Histoire, Économie & Société"
16235843,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Histoires Litteraires
02133911,Q2,96,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Histology and Histopathology
16995848,Q2,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histology and Histopathology
03090167,Q1,129,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Histopathology
13652559,Q1,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histopathology
11083441,Q1,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historei
22412816,Q1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historei
2145132X,Q2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HiSTOReLo
00182311,Q1,17,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,Historia
00732435,Q1,12,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historia
12700835,Q4,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historia
19804369,Q3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia
01019074,Q3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia
07190719,Q2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia 396
11391472,Q1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia Agraria
22372717,Q1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia Ambiental Latinoamericana y Caribena
01228803,Q3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia Caribe
23226889,Q3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia Caribe
15764729,Q2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia Constitucional
11302402,Q1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia Contemporanea
01211617,Q1,9,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historia Critica
22363459,Q4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia da Educacao
14143518,Q4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia da Educacao
19839928,Q1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia da Historiografia
15798135,Q4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia del Presente
13384341,Q2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia Ecclesiastica
15193314,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historia Economica & Historia de Empresa
22797416,Q4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia et Ius
22992464,Q3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia i Swiat
03150860,Q2,18,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,Historia Mathematica
1090249X,Q2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia Mathematica
01850172,Q2,10,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historia Mexicana
26033186,Q4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia Naturalis Bulgarica
02053640,Q4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia Naturalis Bulgarica
17246121,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historia philosophica
03298213,Q2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia Regional
24690732,Q2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia Regional
02854821,Q4,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historia Scientiarum
02142570,Q2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia Social
22361782,Q2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia Unisinos
15193861,Q2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia Unisinos
1221650X,Q4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia Urbana
19883056,Q1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia y Comunicacion Social
11370734,Q1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia y Comunicacion Social
20275137,Q2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia y Memoria
2322777X,Q2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia y Memoria
24440043,Q3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia y Memoria de la Educacio
15750361,Q2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia y Politica
1989063X,Q2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia y Politica
16784758,Q3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Historia, Ciencias, Saude - Manguinhos"
01045970,Q3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Historia, Ciencias, Saude - Manguinhos"
02107716,Q4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Historia, Instituciones, Documentos"
22538291,Q4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Historia, Instituciones, Documentos"
00182362,Q3,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historiallinen aikakauskirja
00182370,Q3,12,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historia
15406563,Q3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historia
17567505,Q1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historic Environment: Policy and Practice
17567513,Q1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historic Environment: Policy and Practice
04409213,Q1,24,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,Historical Archaeology
08912963,Q1,38,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historical Biology
10292381,Q1,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historical Biology
22037543,Q1,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historical Encounters
10916458,Q2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historical Geography
23317523,Q2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historical Geography
14695103,Q1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historical Journal
0018246X,Q1,41,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historical Journal
01439685,Q2,17,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"Historical Journal of Film, Radio and Televisio"
14654466,Q1,32,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,C,NA,Historical Materialism
1569206X,Q1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,Historical Materialism
15701522,Q4,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historical Materialism Book Series
01615440,Q1,24,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,Historical Methods
19401906,Q1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historical Methods
07273061,Q3,8,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historical Records of Australian Science
14485508,Q3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historical Records of Australian Science
03157997,Q4,9,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historical Reflections
19392419,Q4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historical Reflections
09503471,Q2,23,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historical Research
14682281,Q2,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historical Research
17903572,Q4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historical Review
17917603,Q4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historical Review
01726404,Q1,25,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historical Social Research
22961909,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historical Sociolinguistics
20494459,Q3,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,C,NA,Historical Studies in Industrial Relations
13621572,Q3,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,C,NA,Historical Studies in Industrial Relations
1939182X,Q3,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historical Studies in the Natural Sciences
19391811,Q3,22,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,Historical Studies in the Natural Sciences
03230937,Q3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historicka Demografie
18040616,Q3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historicka Sociologie
23363525,Q3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historicka Sociologie
00182575,Q3,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historicky Casopis
26371502,Q4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historijski Pogledi
27120651,Q4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historijski Pogledi
03025160,Q4,13,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historiographia Linguistica
24682314,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historiography of Rome and Its Empire Series
09428704,Q2,6,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historische Anthropologie
21944032,Q2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historische Anthropologie
09395385,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historische Mitteilungen. Beihefte
09353518,Q3,10,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,Historische Sprachforschung
00182613,Q2,16,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,Historische Zeitschrift
00182621,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historisches Jahrbuch
0345469X,Q3,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,Historisk Tidskrift
00467596,Q4,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Historisk Tidskrift foer Finland
0018263X,Q3,7,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,Historisk Tidsskrift
01064991,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,Historisk Tidsskrift
15042944,Q3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Historisk Tidsskrift
00182648,Q2,16,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,History
1468229X,Q2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,History
0935560X,Q2,25,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,History & Memory
02757206,Q1,26,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,History and Anthropology
14772612,Q1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,History and Anthropology
15271994,Q2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,History and Memory
01445340,Q1,18,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,History and Philosophy of Logic
14645149,Q1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,History and Philosophy of Logic
15721914,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,History and Philosophy of Psychology
03919714,Q1,26,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,History and Philosophy of the Life Sciences
17426316,Q1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,History and Philosophy of the Life Sciences
22308075,Q3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,History and Sociology of South Asia
22495312,Q3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,History and Sociology of South Asia
07341512,Q3,25,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,History and Technology
14772620,Q3,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,History and Technology
00182656,Q1,45,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,History and Theory
14682303,Q1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,History and Theory
14490854,Q3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,History Australia
18334881,Q3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,History Australia
14780542,Q2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,History Compass
03615413,Q1,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,History in Africa
15582744,Q1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,History in Africa
18743935,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,History of Biblical Studies
15707350,Q2,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,History of Christian-Muslim Relations
11228792,Q1,8,NA,NA,3,B,NA,NA,1,NA,NA,NA,NA,NA,B,NA,History of Economic Ideas
17242169,Q1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,History of Economic Ideas
22409971,Q3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,History of Economic Thought and Policy
2280188X,Q3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,History of Economic Thought and Policy
10370196,NA,NA,NA,NA,4,C,NA,NA,1,NA,NA,NA,NA,NA,B,NA,History of Economics Review
18386318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,History of Economics Review
0046760X,Q3,20,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,History of Educatio
14645130,Q3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,History of Educatio
19711131,Q4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,History of Education and Children's Literature
19711093,Q4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,History of Education and Children's Literature
00182680,Q1,11,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,History of Education Quarterly
17402433,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,History of Education Researcher
08198691,Q1,8,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,History of Education Review
03113248,Q1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,History of Education Review
01916599,Q1,17,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,History of European Ideas
1873541X,Q1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,History of European Ideas
21905010,Q3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,History of Geo- and Space Sciences
21905029,Q3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,History of Geo- and Space Sciences
